Category,Experiment,Model,Model_Status,Feature_Count,Threshold,Evaluation_Protocol,Dataset_Split,Metric,Value,Unit,Notes
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.5571,score,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.8017,ratio,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.281,coefficient,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,546,count,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,946,count,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,234,count,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,634,count,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.7401,ratio,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.3788,ratio,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.5011,score,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.8669,ratio,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.2816,coefficient,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,447,count,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,1023,count,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,157,count,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.55,RandomForestClassifier,Production Champion,14,0.55,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,733,count,Out-of-fold validation metric evaluated at threshold 0.55
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.787,ratio,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.3068,ratio,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.4415,score,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.9169,ratio,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.2824,coefficient,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,362,count,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,1082,count,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,98,count,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.60,RandomForestClassifier,Production Champion,14,0.6,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,818,count,Out-of-fold validation metric evaluated at threshold 0.60
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.8388,ratio,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.2602,ratio,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.3972,score,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.95,ratio,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.2903,coefficient,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,307,count,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,1121,count,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,59,count,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.65,RandomForestClassifier,Production Champion,14,0.65,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,873,count,Out-of-fold validation metric evaluated at threshold 0.65
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.8717,ratio,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.2246,ratio,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.3571,score,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.9669,ratio,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.2859,coefficient,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,265,count,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,1141,count,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,39,count,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.70,RandomForestClassifier,Production Champion,14,0.7,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,915,count,Out-of-fold validation metric evaluated at threshold 0.70
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Precision,0.6766,ratio,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Recall,0.461,ratio,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_F1_Score,0.5484,score,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Specificity,0.7797,ratio,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_MCC,0.2539,coefficient,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TP,136,count,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TN,230,count,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FP,65,count,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FN,159,count,Final held-out test evaluation metric at decision threshold 0.50
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Precision,0.5714,ratio,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Recall,0.6644,ratio,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_F1_Score,0.6144,score,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Specificity,0.5017,ratio,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_MCC,0.1691,coefficient,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TP,196,count,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TN,148,count,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FP,147,count,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FN,99,count,Final held-out test evaluation metric at decision threshold 0.40
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Precision,0.589,ratio,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Recall,0.6169,ratio,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_F1_Score,0.6026,score,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Specificity,0.5695,ratio,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_MCC,0.1867,coefficient,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TP,182,count,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TN,168,count,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FP,127,count,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FN,113,count,Final held-out test evaluation metric at decision threshold 0.30
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Precision,0.5009,ratio,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Recall,0.9864,ratio,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_F1_Score,0.6644,score,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_Specificity,0.0169,ratio,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_MCC,0.0138,coefficient,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TP,291,count,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_TN,5,count,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FP,290,count,Final held-out test evaluation metric at decision threshold 0.20
4. THRESHOLD ANALYSIS,Test Evaluation @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Edge-Holdout (Zero-Leakage),Held-Out Test Set,Test_FN,4,count,Final held-out test evaluation metric at decision threshold 0.20
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,Selected_Operational_Threshold,0.4,threshold,Balanced operational point selected for threat discovery
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,OOF_Precision_at_0_40,0.5797,ratio,Out-of-fold cross-validation precision at tau=0.40 (57.97%)
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,OOF_Recall_at_0_40,0.6907,ratio,Out-of-fold cross-validation recall at tau=0.40 (69.07%)
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,OOF_F1_at_0_40,0.6303,score,Out-of-fold cross-validation F1 at tau=0.40 (0.6303)
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,Final_Test_Precision_at_0_40,0.5714,ratio,Final held-out test set precision at tau=0.40 (57.14%)
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,Final_Test_Recall_at_0_40,0.6644,ratio,"Final held-out test set recall at tau=0.40 (66.44%, 196/295 TP)"
5. FINAL OPERATIONAL THRESHOLD,Operational Threshold Setting,RandomForestClassifier,Production Champion,14,0.4,Edge-Holdout (Strict Zero-Leakage),OOF & Held-Out Test,Final_Test_F1_at_0_40,0.6144,score,Final held-out test set F1 score at tau=0.40 (0.6144)
6. FEATURE IMPORTANCE,Feature Rank #01,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_shortest_path_length,0.1822,ratio,Relative Gini importance of feature 'shortest_path_length' (Rank 1)
6. FEATURE IMPORTANCE,Feature Rank #02,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_adamic_adar_index,0.1001,ratio,Relative Gini importance of feature 'adamic_adar_index' (Rank 2)
6. FEATURE IMPORTANCE,Feature Rank #03,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_preferential_attachment,0.0962,ratio,Relative Gini importance of feature 'preferential_attachment' (Rank 3)
6. FEATURE IMPORTANCE,Feature Rank #04,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_degree_v,0.0915,ratio,Relative Gini importance of feature 'degree_v' (Rank 4)
6. FEATURE IMPORTANCE,Feature Rank #05,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_market_overlap_count,0.0897,ratio,Relative Gini importance of feature 'market_overlap_count' (Rank 5)
6. FEATURE IMPORTANCE,Feature Rank #06,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_resource_allocation_index,0.075,ratio,Relative Gini importance of feature 'resource_allocation_index' (Rank 6)
6. FEATURE IMPORTANCE,Feature Rank #07,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_market_jaccard,0.0719,ratio,Relative Gini importance of feature 'market_jaccard' (Rank 7)
6. FEATURE IMPORTANCE,Feature Rank #08,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_jaccard_coefficient,0.066,ratio,Relative Gini importance of feature 'jaccard_coefficient' (Rank 8)
6. FEATURE IMPORTANCE,Feature Rank #09,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_degree_u,0.0631,ratio,Relative Gini importance of feature 'degree_u' (Rank 9)
6. FEATURE IMPORTANCE,Feature Rank #10,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_degree_diff,0.0628,ratio,Relative Gini importance of feature 'degree_diff' (Rank 10)
6. FEATURE IMPORTANCE,Feature Rank #11,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_degree_ratio,0.0518,ratio,Relative Gini importance of feature 'degree_ratio' (Rank 11)
6. FEATURE IMPORTANCE,Feature Rank #12,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_common_neighbors_count,0.0499,ratio,Relative Gini importance of feature 'common_neighbors_count' (Rank 12)
6. FEATURE IMPORTANCE,Feature Rank #13,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_same_pgp_key,0.0,ratio,Relative Gini importance of feature 'same_pgp_key' (Rank 13)
6. FEATURE IMPORTANCE,Feature Rank #14,RandomForestClassifier,Production Champion,14,N/A,MDI (Gini Importance),Training Split (G_train),Importance_same_wallet,0.0,ratio,Relative Gini importance of feature 'same_wallet' (Rank 14)
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Model_Architecture,RandomForestClassifier,string,Classifier family
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Model_Status,"Production Champion (14 Features, Regularized Depth=6)",string,Lifecycle status
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Number_of_Estimators,100,count,Number of decision trees in forest ensemble
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Max_Depth,6,count,Maximum depth of each decision tree (regularized to 6)
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Min_Samples_Split,4,count,Minimum samples required to split an internal node
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Min_Samples_Leaf,2,count,Minimum samples required to be at a leaf node (regularized to 2)
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Max_Features,sqrt,string,Number of features to consider when looking for best split ('sqrt')
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Random_State,42,seed,Random seed for reproducible training
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Train_Samples_Count,2360,count,Total samples in training feature matrix (2360)
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Test_Samples_Count,590,count,Total samples in held-out test feature matrix (590)
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Train_Positives_Count,1180,count,Ground-truth positive entity relationship pairs in training split
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Train_Negatives_Count,1180,count,Sampled negative non-relationship entity pairs in training split
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Test_Positives_Count,295,count,Ground-truth positive entity relationship pairs in held-out test split
